nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(1943.56, 1331.16)","(1978.86, 1384.21)","(1955.52, 1384.16)","(1955.55, 1437.43)","(1925.82, 1437.39)","(1996.58, 1384.16)","(2025.89, 1449.08)","(1961.11, 1443.31)","(1984.63, 1519.44)","(1967.16, 1513.8)","(1984.8, 1619.36)","(2078.92, 1613.87)","(1990.69, 1519.61)","(1937.74, 1613.66)","(1943.36, 1714.04)","(1949.17, 1325.24)","(1949.58, 1319.5)","(nan, nan)","(1972.92, 1336.85)","(1902.05, 1725.73)","(1908.36, 1737.59)","(1949.46, 1720.05)","(2084.89, 1660.92)","(2078.93, 1643.36)","(2090.6, 1584.54)"
"(1914.29, 1337.06)","(1961.12, 1384.42)","(1949.26, 1384.35)","(1949.43, 1443.12)","(1920.16, 1443.16)","(1984.72, 1384.41)","(1996.38, 1454.93)","(1937.72, 1443.27)","(1955.43, 1519.61)","(1949.63, 1519.54)","(1961.39, 1619.66)","(2049.79, 1578.83)","(1961.38, 1525.22)","(1914.14, 1619.45)","(1937.69, 1719.57)","(nan, nan)","(1931.78, 1331.21)","(nan, nan)","(1955.37, 1337.07)","(1902.17, 1725.81)","(1908.45, 1743.33)","(1949.35, 1720.14)","(2090.62, 1619.66)","(2084.67, 1613.91)","(2055.55, 1572.76)"
"(1908.24, 1337.08)","(1949.34, 1389.99)","(1925.94, 1389.92)","(1914.14, 1448.89)","(1902.21, 1443.26)","(1955.47, 1390)","(1955.42, 1466.72)","(1902.44, 1454.94)","(1949.09, 1525.29)","(1931.85, 1519.69)","(1937.68, 1613.8)","(2037.66, 1584.32)","(1949.57, 1525.45)","(1902.58, 1613.88)","(1937.55, 1714.1)","(nan, nan)","(1914.2, 1336.73)","(nan, nan)","(1949.29, 1337.32)","(1902.04, 1725.75)","(1908.36, 1737.57)","(1949.31, 1719.96)","(2055.4, 1613.81)","(2043.86, 1613.73)","(2043.45, 1578.38)"
"(1896.31, 1337.3)","(1914.33, 1390)","(1908.18, 1389.86)","(1902.53, 1443.1)","(1873.05, 1454.89)","(1931.8, 1390.06)","(1931.77, 1460.74)","(1878.89, 1460.82)","(1925.9, 1519.65)","(1914.33, 1519.49)","(1902.26, 1613.72)","(1931.81, 1713.75)","(1937.6, 1525.23)","(1890.63, 1613.65)","(1937.66, 1714.15)","(1902.16, 1336.8)","(1902.28, 1336.94)","(nan, nan)","(1914.29, 1342.76)","(1896.26, 1731.72)","(1908.02, 1749.34)","(1949.65, 1720.13)","(1902.32, 1720.01)","(1908.21, 1719.79)","(1949.61, 1714.13)"
"(1866.96, 1337.06)","(1908.12, 1389.92)","(1902.15, 1384.46)","(1902.03, 1443.24)","(1866.96, 1448.95)","(1908.47, 1390.01)","(1914.14, 1472.36)","(1867.02, 1454.82)","(1908.07, 1525.25)","(1902.37, 1519.65)","(1861.09, 1613.64)","(1931.69, 1707.94)","(1908.48, 1525.4)","(1872.84, 1613.66)","(1943.41, 1714.05)","(nan, nan)","(1878.75, 1331.31)","(nan, nan)","(1902.5, 1337.26)","(1902.14, 1737.52)","(1908.38, 1749.24)","(1955.12, 1719.97)","(1896.5, 1725.88)","(1902.23, 1719.93)","(1949.49, 1713.84)"
"(1849.42, 1342.74)","(1890.46, 1384.38)","(1872.81, 1384.27)","(1867.05, 1437.39)","(1849.4, 1437.33)","(1902.08, 1384.42)","(1884.61, 1454.96)","(1843.36, 1437.47)","(1896.38, 1519.71)","(1872.96, 1519.5)","(1831.73, 1613.7)","(1920.11, 1672.76)","(1902.51, 1525.31)","(1884.67, 1619.73)","(1937.75, 1719.57)","(1855.16, 1336.84)","(1855.3, 1336.94)","(nan, nan)","(1872.99, 1337.28)","(1902.04, 1737.51)","(1908.24, 1749.23)","(1949.62, 1719.94)","(1896.52, 1713.92)","(1902.26, 1696.3)","(1943.6, 1678.58)"
"(1825.74, 1336.98)","(1861.27, 1384.41)","(1855.32, 1384.34)","(1855.05, 1437.23)","(1814.29, 1431.19)","(1867.2, 1389.88)","(1860.89, 1454.93)","(1814.06, 1437.26)","(1861.4, 1519.69)","(1855.41, 1519.54)","(1802.04, 1596.22)","(1872.99, 1613.67)","(1884.55, 1525.25)","(1867.05, 1613.86)","(1943.4, 1714.05)","(1843.33, 1331.23)","(1843.36, 1331.13)","(nan, nan)","(1861.26, 1337.1)","(1902.26, 1731.53)","(1914.11, 1737.55)","(1955.12, 1719.68)","(1890.56, 1660.88)","(1890.57, 1643.17)","(1896.26, 1602.08)"
"(1813.99, 1331.18)","(1855.03, 1378.4)","(1849.36, 1378.15)","(1825.88, 1437.04)","(1802.2, 1407.84)","(1855.16, 1384.01)","(1814.34, 1460.61)","(1778.65, 1419.53)","(1855.02, 1513.62)","(1837.57, 1507.74)","(1772.72, 1578.81)","(1855.19, 1619.79)","(1861.06, 1519.39)","(1861.27, 1613.9)","(1937.65, 1708.12)","(1814.12, 1330.96)","(1819.95, 1325.25)","(nan, nan)","(1855.01, 1336.85)","(1902.08, 1731.56)","(1914.02, 1737.43)","(1949.59, 1713.68)","(1849.35, 1666.77)","(1849.08, 1654.96)","(1861.36, 1619.48)"
"(1802.09, 1331.21)","(1820.11, 1378.22)","(1819.84, 1378.09)","(1813.82, 1425.5)","(1767.11, 1401.98)","(1825.8, 1383.89)","(1813.94, 1437.24)","(1772.82, 1413.56)","(1825.95, 1496.19)","(1814.19, 1496.12)","(1760.76, 1572.82)","(1831.64, 1631.46)","(1849.35, 1501.97)","(1861.15, 1613.74)","(1937.66, 1707.82)","(1807.77, 1325.29)","(1808.05, 1319.53)","(nan, nan)","(1819.97, 1336.77)","(1908.05, 1725.74)","(1925.84, 1725.75)","(1949.53, 1707.98)","(1814.21, 1672.63)","(1813.92, 1666.86)","(1854.93, 1631.59)"
"(1772.87, 1325.35)","(1814.07, 1372.38)","(1819.83, 1372.34)","(1819.94, 1425.36)","(1767.09, 1402)","(1808.16, 1378.36)","(1784.63, 1437.44)","(1761.03, 1425.27)","(1813.83, 1495.96)","(1808.14, 1490.27)","(1725.86, 1572.7)","(1807.88, 1655.08)","(1814.23, 1496.11)","(1849.44, 1607.78)","(1920.05, 1678.76)","(nan, nan)","(1784.68, 1313.51)","(nan, nan)","(1808.36, 1331.03)","(1908.14, 1719.99)","(1926, 1719.73)","(1943.6, 1684.4)","(1778.74, 1678.56)","(1790.37, 1672.69)","(1813.99, 1660.82)"
