time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
4.5166667,2707.413401555215,3059.069438967187,1716.1172024220107,15.371347602768108,6.588058240997026,-1.0635694458097007,-1624.3579830284089,-5610.93573918304,-1252.818682313015,-5351.234540781836,-2737.9591321715125,8729.121085395005,0.0,-4240.715517761368,6624.820535417029,-5629.960875797495,17465.481786975946,14296.712121203103,4269.8312336860245,0.0,-1492.38430690479,-5247.04480764154,-1388.3541921323806,-2841.3416565893317,79.05969210750793,-3346.6574671286244,3702.3970626311248,-112.01582208491646,-3558.380294995427,7014.798005000671,-2392.348774638295,9979.973527501501,567.3909662931172
4.5333333,2428.5318631912996,4160.111546762166,1183.1067075165101,13.817350360243845,-3.032440015629957,-2.752642949570489,1410.1518793618268,-7216.108365360062,-2507.424656609673,211.94785400278792,1593.0049937571634,9109.096507797001,0.0,-349.08408078452277,8232.719897036653,-4324.793266073493,19732.898073024324,14115.583771964535,3034.977018715746,0.0,303.90397674276903,-5510.496629678391,-2216.0854661840394,-198.80313237389962,257.81924017006486,-775.5614016918328,1029.1874830993368,196.6566676821685,-5509.843802675637,9383.042129575386,-3165.8089689283315,9239.195488649182,-277.5241461038417
4.55,1115.450868792574,3429.9083803997587,-709.4918442438087,2.6962331206966494,-8.357979211606798,-2.5282003234278765,3101.0664349565036,-6133.870346748581,-1820.186030905379,2602.8529303809732,3686.3847064439733,6011.4663018805295,0.0,2782.1449412370293,5314.694658423575,-3415.2280041929375,17089.31976192669,8410.458958561905,1032.5863374596136,0.0,2087.386332646088,-3134.051866253235,-1597.1401968700145,3029.4641527025665,193.4024554286132,2548.7430622497054,-2530.4366836537397,269.00324208043315,-4558.366312389644,6259.626629301441,-3349.490722025973,3243.996831114487,-882.3354030286433
4.5666667,-172.78962878653823,1578.1386259496242,-3468.2873293502867,-12.836670837066874,-5.522284402738593,-1.3199884122088341,3711.5880449007755,-3154.9013755464466,960.73737519549,1543.7288167851307,1969.5571329190639,-314.2138634257664,0.0,3941.428692152832,-170.57842456081374,-3563.021367255373,11671.446240174808,2386.2205581944627,-234.58976711371858,0.0,2665.819177228269,299.533869635669,1153.3885916775805,5417.563695881512,-121.6590854854541,4887.295999529252,-5063.06202555486,106.5381051119644,444.3317782766529,-2971.9575114219933,-2434.533685955559,-6059.063440698041,-745.6375276578633
4.5833333,-778.3556848087012,-256.8781417332218,-5451.530989938815,-25.104005014940263,5.277986719407902,-0.876073547962207,4293.583137679581,427.52631977952177,4173.844513508643,-585.2036539879866,-2568.8712667854415,-7512.758901940227,0.0,2656.557041863167,-4594.433364315886,-3758.674073031007,4991.7943203695395,-981.791007311529,-375.8909447338096,0.0,1758.3063711533753,2808.0288585212834,4559.841718539979,5227.728837754239,-118.19572388230506,4764.399729790362,-5180.109861369996,-128.19319178619256,7153.901532194917,-12878.20527079753,-481.80932805208,-13559.183721250458,-221.11196842611366
4.6,-628.5057112194787,-1466.309959353757,-5251.114708959625,-28.616891558236354,18.451333017056644,-2.216250627051205,5279.498570228461,3925.3878514849507,5511.2260303734665,-805.1286910529856,-8088.11487633427,-13080.66052373718,0.0,-545.9039362895139,-5376.0204047581265,-2593.2938666250234,-2038.8126752571395,-2289.7343881131696,-727.5233841012432,0.0,-200.15744272831054,3323.426102421253,6280.640554664494,2043.4501907896283,311.5515918195021,2238.602466113868,-2899.09052651246,-213.27039992282343,11433.125790898473,-16352.9853062555,2231.655417779921,-14910.450189237346,42.24753174276763
4.6166667,-159.84234099592598,-2074.310639722443,-2905.2419710820027,-24.329819724435367,25.710712043339253,-4.8103245963977885,6125.925287037416,7204.829937161148,3734.1834433128306,1959.186799364235,-11904.923709263445,-14931.09434304205,0.0,-3808.1796155240136,-2769.3277644415252,104.4093455792151,-7871.588321886338,-3291.0722003765327,-2321.2067906201705,0.0,-2336.6687225935293,2242.7917929421305,5177.559608464873,-2347.8192944997654,575.809754143283,-1129.3669769461505,444.58851739265816,-64.73775157253733,10883.973363739658,-11369.931754618661,5197.775970654324,-10375.605945178666,-331.1550161947782
4.6333333,41.70729034705869,-2266.7762040812313,254.6363904536336,-17.590546798410234,22.004988847120316,-6.80118751257792,5944.6128631992515,9877.927069073437,-600.506549630737,5843.70204831527,-10852.53956583319,-11751.493420405599,0.0,-4823.84381576189,626.8083311806648,3038.8976555265067,-10290.552126109926,-4712.330314243613,-4376.096301866916,0.0,-3708.604630245272,839.1625276471376,2029.5362070973215,-5090.6419693854605,340.7735429708013,-3352.8193052350757,3046.4756562100583,195.44917976127516,6553.62962523317,-2472.8055027195032,7239.472526433031,-4145.350417640812,-1095.9819698848057
4.65,-260.1166517018389,-2071.6134643502173,2780.8378751732694,-10.705403327118674,9.883985725198905,-6.372728696546544,4334.684390338857,10870.453467894315,-5794.293799742795,7584.013416958448,-4013.884186125067,-4563.381018903638,0.0,-2728.4963370516402,2226.3197276618944,4636.211656825558,-8182.487166588198,-6057.683499038533,-5252.705655409528,0.0,-3774.3432417097306,63.7541335635657,-1426.8859486255672,-4671.103581485801,-35.94902778258263,-3421.455420104803,3788.722304427824,324.7260381594627,1408.7040494306773,4158.451941701663,7060.002644465903,-176.03191545382964,-1437.4456333617522
4.6666667,-763.3876431963565,-1499.3471131518045,4056.104327134841,-0.5121444538111999,-2.3246978842339177,-3.4418112290846965,1740.9456440488793,9072.7249009908,-10092.598159977415,5389.5629259544,5245.370822004839,3022.122810871483,0.0,995.5320105247396,1543.472993244925,4304.429999627479,-3019.7014562813697,-6360.675392844063,-4285.916131933799,0.0,-2693.851577084019,-55.430405284703745,-3933.987924071209,-2066.0415261050052,-194.11982963544745,-1972.4132433564087,2884.750699780924,165.8115651871322,-2529.714742323476,6071.716402184993,4530.128395526918,833.0500420366645,-770.1500969563851
4.6833333,-925.543881921074,-750.2129261883792,4281.983686100276,14.147311937185181,-8.056740988970393,-0.004667435410534828,-871.8338077606048,4543.187391921284,-12247.232929409633,414.3730743609679,11759.764540670045,7914.674925646651,0.0,3828.7181059474196,113.60926632654974,2725.3769681130693,2016.6415614469245,-4913.8770966220145,-2107.1838238495743,0.0,-1184.2036152143237,-33.16499743153049,-5282.957657009613,559.4412651394557,-304.6011820439887,-546.2084303211986,1340.4104154831343,-188.5427112775711,-5306.632672572983,4938.307216807482,981.781694953308,718.3532242078168,430.8072417056258
4.7,-446.8473357266989,-58.27119478606118,3894.93183853642,25.787239554141227,-8.159752240866768,1.5003287563923573,-2647.099257438027,-1019.3752566763405,-11674.450656762549,-4457.526828554189,13170.328275779819,10485.012433397147,0.0,4473.728906216279,-376.4156632329742,1198.5755008538683,4524.678423797936,-1802.1842647039143,538.8072773582946,0.0,48.19106053538875,-279.06346656396295,-5816.229806183761,1925.4636524538932,-610.193228527735,-69.98063095977368,-112.51619062394698,-492.42596030369316,-7474.997550444095,3013.1894154814154,-1931.2062516524786,902.9327956291289,1138.202092281143
4.7166667,494.3689119035869,554.3149082311055,3147.2781008004895,24.19113617848761,-8.102850094922958,0.2994047962673635,-3241.7341050559135,-5215.867956805956,-8608.169980072502,-7044.767902483334,10661.852323471561,12680.45373036539,0.0,3661.4666486628125,332.7789275253085,650.14622444413,4358.566469019659,1951.2201628879518,3447.6914037526053,0.0,831.4474698847604,-798.612196879549,-5568.884593739324,2183.9881167702265,-957.3395080738599,-250.60314667705777,-1235.5159659267442,-555.8315154667092,-7857.901940824126,487.9532445522368,-2839.7948431607556,635.9477502987372,1082.9465118804126
4.7333333,1423.887350497326,1167.891345499833,2130.4435597866704,8.673628732005122,-10.680447872018549,-2.2656911789341025,-2824.3586292239665,-6550.200706307977,-4057.9080164450456,-7159.114499999442,5909.200585750712,13888.434703487806,0.0,2842.6104684261927,1225.8223881570555,1048.909220797323,2839.8256858518475,4925.4951776321695,6165.7771503356935,0.0,1487.7635137689945,-1290.5307385859458,-3922.3436807415956,1819.2531863989352,-1255.18650514427,-509.5489067860979,-1666.1763511765148,-294.86589072751855,-3318.6943964412485,-3720.8784624031728,152.77962948137179,-1924.483933756144,1085.076654812886
